iter	Logloss
0	0.465569645
1	0.3792800511
2	0.3424683445
3	0.3308039634
4	0.3213601744
5	0.3163792105
6	0.3096783167
7	0.3055858105
8	0.3011807065
9	0.2987959054
10	0.297752031
11	0.2949808221
12	0.2934058236
13	0.2920548037
14	0.2908522595
15	0.2902143062
16	0.289158167
17	0.2884343109
18	0.2876503606
19	0.2869203275
20	0.2864141167
21	0.28569107
22	0.2851396695
23	0.28445031
24	0.2841385808
25	0.2834639846
26	0.2830447196
27	0.2822092815
28	0.2817794958
29	0.281445597
30	0.2808513362
31	0.2805454244
32	0.2803045839
33	0.2798807347
34	0.2759108838
35	0.275553852
36	0.2751674767
37	0.2743469202
38	0.2739041113
39	0.2734500377
40	0.2729107238
41	0.2726028118
42	0.2723192458
43	0.2718273667
44	0.271245405
45	0.2702072336
46	0.2699908901
47	0.2695249474
48	0.2692533983
49	0.2690822219
50	0.2688910665
51	0.2686631175
52	0.2680900356
53	0.2676935594
54	0.2661448674
55	0.2654274305
56	0.2650980381
57	0.2648352852
58	0.2646086911
59	0.264336589
60	0.2641255663
61	0.2636994329
62	0.2632669695
63	0.2630350076
64	0.2627449175
65	0.2623932874
66	0.262195591
67	0.2619593449
68	0.2617946667
69	0.2615829851
70	0.2614196419
71	0.2611422405
72	0.2609772734
73	0.2608305964
74	0.2606530285
75	0.2604133103
76	0.2600104198
77	0.259862575
78	0.2595372113
79	0.2593217746
80	0.2589842935
81	0.2588866355
82	0.258646312
83	0.2583740441
84	0.2581247285
85	0.2575734786
86	0.2572811494
87	0.2570707892
88	0.2569283092
89	0.2567329546
90	0.2566181257
91	0.2562513066
92	0.256075463
93	0.2559464507
94	0.2557858271
95	0.2556833599
96	0.2555423674
97	0.2553193199
98	0.255161527
99	0.254809127
100	0.254634575
101	0.2544206614
102	0.2542268475
103	0.2541374913
104	0.2539456421
105	0.2538088852
106	0.2536340524
107	0.2534910982
108	0.2533046007
109	0.2531474857
110	0.252880578
111	0.2527135355
112	0.2524761225
113	0.2523204372
114	0.2521577351
115	0.2514410116
116	0.2512939692
117	0.2511680931
118	0.2509079423
119	0.2506259967
120	0.2503848617
121	0.2502558071
122	0.2499359091
123	0.2496673337
124	0.2495133622
125	0.2493272649
126	0.2491954106
127	0.2490988071
128	0.2490212574
