iter	Passed	Remaining
0	10	1372
1	20	1326
2	30	1299
3	40	1279
4	50	1259
5	61	1250
6	70	1235
7	80	1212
8	90	1200
9	100	1190
10	110	1180
11	120	1170
12	130	1165
13	140	1157
14	151	1150
15	161	1139
16	171	1127
17	181	1116
18	191	1107
19	200	1095
20	210	1084
21	220	1072
22	230	1061
23	240	1050
24	249	1038
25	259	1028
26	270	1020
27	279	1008
28	289	998
29	299	986
30	309	977
31	319	967
32	329	957
33	339	947
34	350	940
35	360	930
36	370	921
37	380	911
38	390	901
39	400	890
40	410	880
41	420	870
42	430	860
43	439	849
44	449	839
45	459	829
46	469	819
47	479	809
48	489	799
49	499	788
50	509	779
51	519	769
52	529	759
53	539	749
54	549	739
55	559	728
56	568	718
57	578	708
58	588	698
59	599	689
60	610	680
61	620	670
62	631	661
63	641	651
64	652	642
65	662	631
66	671	621
67	682	611
68	692	602
69	702	592
70	712	581
71	722	571
72	731	561
73	741	551
74	751	541
75	761	530
76	771	521
77	781	511
78	792	501
79	802	491
80	812	481
81	821	471
82	831	461
83	841	450
84	852	441
85	862	431
86	872	421
87	882	410
88	891	400
89	902	390
90	912	380
91	922	370
92	932	360
93	942	350
94	952	340
95	961	330
96	971	320
97	981	310
98	992	300
99	1002	290
100	1012	280
101	1022	270
102	1032	260
103	1042	250
104	1052	240
105	1062	230
106	1073	220
107	1083	210
108	1093	200
109	1104	190
110	1114	180
111	1125	170
112	1135	160
113	1145	150
114	1155	140
115	1165	130
116	1176	120
117	1186	110
118	1195	100
119	1206	90
120	1216	80
121	1227	70
122	1238	60
123	1249	50
124	1260	40
125	1271	30
126	1282	20
127	1292	10
128	1303	0
